Date,Open,High,Low,Close,Adj Close,Volume
2022-05-31,16578.449219,16690.750000,16521.900391,16584.550781,16584.550781,651600
2022-06-01,16594.400391,16649.199219,16438.849609,16522.750000,16522.750000,249600
2022-06-02,16481.650391,16646.400391,16443.050781,16628.000000,16628.000000,236000
2022-06-03,16761.650391,16793.849609,16567.900391,16584.300781,16584.300781,245500
2022-06-06,16530.699219,16610.949219,16444.550781,16569.550781,16569.550781,233600
2022-06-07,16469.599609,16487.250000,16347.099609,16416.349609,16416.349609,233800
2022-06-08,16474.949219,16514.300781,16293.349609,16356.250000,16356.250000,243500
2022-06-09,16263.849609,16492.800781,16243.849609,16478.099609,16478.099609,205000
2022-06-10,16283.950195,16324.700195,16172.599609,16201.799805,16201.799805,189700
2022-06-13,15877.549805,15886.150391,15684.000000,15774.400391,15774.400391,225500
2022-06-14,15674.250000,15858.000000,15659.450195,15732.099609,15732.099609,225400
2022-06-15,15729.250000,15783.650391,15678.900391,15692.150391,15692.150391,183000
2022-06-16,15832.250000,15863.150391,15335.099609,15360.599609,15360.599609,264700
2022-06-17,15272.650391,15400.400391,15183.400391,15293.500000,15293.500000,342600
2022-06-20,15334.500000,15382.500000,15191.099609,15350.150391,15350.150391,260000
2022-06-21,15455.950195,15707.250000,15419.849609,15638.799805,15638.799805,262800
2022-06-22,15545.650391,15565.400391,15385.950195,15413.299805,15413.299805,220900
2022-06-23,15451.549805,15628.450195,15367.500000,15556.650391,15556.650391,259200
2022-06-24,15657.400391,15749.250000,15619.450195,15699.250000,15699.250000,219600
2022-06-27,15926.200195,15927.450195,15815.500000,15832.049805,15832.049805,210900
2022-06-28,15757.450195,15892.099609,15710.150391,15850.200195,15850.200195,251900
2022-06-29,15701.700195,15861.599609,15687.799805,15799.099609,15799.099609,444900
2022-06-30,15774.500000,15890.000000,15728.849609,15780.250000,15780.250000,306000
2022-07-01,15703.700195,15793.950195,15511.049805,15752.049805,15752.049805,364100
2022-07-04,15710.500000,15852.349609,15661.799805,15835.349609,15835.349609,304300
2022-07-05,15909.150391,16025.750000,15785.450195,15810.849609,15810.849609,254200
2022-07-06,15818.200195,16011.349609,15800.900391,15989.799805,15989.799805,288400
2022-07-07,16113.750000,16150.500000,16045.950195,16132.900391,16132.900391,264600
2022-07-08,16273.650391,16275.500000,16157.900391,16220.599609,16220.599609,281100
2022-07-11,16136.150391,16248.549805,16115.500000,16216.000000,16216.000000,255900
2022-07-12,16126.200195,16158.750000,16031.150391,16058.299805,16058.299805,208600
2022-07-13,16128.200195,16140.000000,15950.150391,15966.650391,15966.650391,233300
2022-07-14,16018.849609,16070.849609,15858.200195,15938.650391,15938.650391,228600
2022-07-15,16010.799805,16066.950195,15927.299805,16049.200195,16049.200195,205800
2022-07-18,16151.400391,16287.950195,16142.200195,16278.500000,16278.500000,227700
2022-07-19,16187.049805,16359.500000,16187.049805,16340.549805,16340.549805,222600
2022-07-20,16562.800781,16588.000000,16490.949219,16520.849609,16520.849609,284400
2022-07-21,16523.550781,16626.949219,16483.900391,16605.250000,16605.250000,243600
2022-07-22,16661.250000,16752.250000,16610.900391,16719.449219,16719.449219,190900
2022-07-25,16662.550781,16706.050781,16564.250000,16631.000000,16631.000000,211400
2022-07-26,16632.900391,16636.099609,16463.300781,16483.849609,16483.849609,208200
2022-07-27,16475.349609,16653.449219,16438.750000,16641.800781,16641.800781,185200
2022-07-28,16774.849609,16947.650391,16746.250000,16929.599609,16929.599609,376300
2022-07-29,17079.500000,17172.800781,17018.150391,17158.250000,17158.250000,436100
2022-08-01,17243.199219,17356.250000,17154.800781,17340.050781,17340.050781,381500
2022-08-02,17310.150391,17390.150391,17215.849609,17345.449219,17345.449219,333600
2022-08-03,17349.250000,17407.500000,17225.849609,17388.150391,17388.150391,285400
2022-08-04,17463.099609,17490.699219,17161.250000,17382.000000,17382.000000,325000
2022-08-05,17423.650391,17474.400391,17348.750000,17397.500000,17397.500000,355300
2022-08-08,17401.500000,17548.800781,17359.750000,17525.099609,17525.099609,257000
